gene_id	colors
TMEM156	brown
UCHL1	turquoise
CWH43	grey
PDGFRA	turquoise
KIT	turquoise
KDR	turquoise
IGFBP7-AS1	turquoise
UGT2B15.1	blue
UGT2B11	turquoise
PRR27.1	grey
ODAM	grey
FDCSP	turquoise
JCHAIN	turquoise
ALB	grey
RASSF6	turquoise
CXCL8	grey
CXCL5	grey
CXCL2	grey
CXCL9	turquoise
CXCL10	turquoise
CXCL11	turquoise
ART3	grey
CXCL13	brown
SPARCL1	turquoise
IBSP	turquoise
SPP1	turquoise
GPRIN3	turquoise
BMPR1B	blue
ADH1B	turquoise
EMCN	turquoise
BANK1	brown
NPNT	grey
CFI	turquoise
ENPEP	turquoise
UGT8	grey
SYNPO2	turquoise
PCDH18	turquoise
SLC7A11-AS1	grey
SLC7A11	grey
CLGN	blue
TNRC18P1	blue
EDNRA	turquoise
FGB	grey
FGG	grey
GUCY1A3	turquoise
RP11-588K22.2	turquoise
TDO2.1	grey
FAM198B	turquoise
RP11-597D13.9	turquoise
HAND2	turquoise
HPGD	grey
GLRA3	blue
TENM3	grey
PDLIM3	turquoise
ZFP42	grey
PLEKHG4B	turquoise
NKD2.1	turquoise
CTD-2012M11.3	turquoise
IRX1	turquoise
ADCY2	turquoise
SEMA5A	turquoise
FBXL7	turquoise
BASP1	grey
C5orf17	grey
ADAMTS12.1	turquoise
C7	turquoise
CCDC152	turquoise
SELENOP	turquoise
CCL28	grey
FGF10	turquoise
RP11-53O19.2	blue
RP11-53O19.1	blue
ESM1	turquoise
GZMK	brown
CDC20B	blue
MCIDAS	grey
CCNO	blue
RP11-546M4.1	turquoise
RP11-389C8.2	turquoise
FOXD1-AS1	grey
FOXD1	grey
F2RL2	turquoise
THBS4	turquoise
VCAN-AS1	turquoise
HAPLN1	turquoise
LINC00461	grey
NR2F1	turquoise
ST8SIA4	turquoise
FBN2	grey
ADAMTS19	grey
PDLIM4	turquoise
SHROOM1	turquoise
FSTL4	blue
DCANP1	brown
TIFAB	brown
CXCL14	turquoise
TGFBI	grey
MZB1	turquoise
ECSCR	turquoise
DPYSL3	turquoise
RP11-394O4.6	turquoise
CARMN	turquoise
PDGFRB	turquoise
ARSI	turquoise
FAT2	turquoise
SPARC	turquoise
SGCD	turquoise
EBF1	turquoise
TENM2	grey
SLIT3	turquoise
DOCK2	turquoise
FOXI1	turquoise
KCNMB1	turquoise
TLX3	grey
NKX2-5	grey
LINC01411	blue
HRH2	turquoise
UNC5A	blue
GRM6	turquoise
ADAMTS2	turquoise
SCGB3A1	turquoise
FLT4	turquoise
BTNL9	turquoise
IRF4	brown
FOXQ1	grey
FOXCUT	grey
FOXC1	turquoise
NRN1	turquoise
F13A1	turquoise
ELOVL2	blue
RNF182	grey
STMND1	blue
RBM24	blue
ID4	turquoise
CASC15	turquoise
DCDC2	blue
HIST1H2BH	grey
UBD.6	turquoise
MOG.7	grey
ZFP57.7	grey
LTB.7	turquoise
LST1.7	turquoise
SLC44A4.7	blue
XXbac-BPG116M5.17	turquoise
CFB.6	turquoise
C4A.3	turquoise
CYP21A1P.3	blue
TNXA.3	turquoise
NOTCH4.6	turquoise
HLA-DRB5	turquoise
HLA-DRB1.5	turquoise
HLA-DMB.7	turquoise
HLA-DOA.6	turquoise
HLA-DPA1.7	turquoise
HLA-DPB1.7	turquoise
GRM4	blue
SPDEF	blue
CLPSL1	turquoise
CLPS	turquoise
PI16	turquoise
MDFI	turquoise
CAPN11	turquoise
PLA2G7	turquoise
ADGRF5	turquoise
ADGRF1	grey
ADGRF4	grey
TFAP2B	turquoise
GSTA1	turquoise
COL9A1	grey
KRT19P1	grey
KCNQ5	grey
CD109	grey
TBX18	turquoise
NT5E	grey
FUT9	grey
CD24	grey
LAMA4	turquoise
