"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CROCCP4",2.90110213979961,1.51782268319141,0.423683178622316,3.58244735636399,0.000340390227553454,0.000931298482824658
"RP11-108M9.2",1.11507842689347,1.60812506802811,0.662246503920209,2.42828774256824,0.0151703020818288,0.0286560124334663
"RNU1-2",0.566918413612822,1.51838901326366,0.611413325596063,2.48340844024522,0.0130131783131303,0.0249753925260217
"RP11-108M9.6",3.98117404042503,1.68584825742046,0.418020939928715,4.03292777081441,5.50862151335531e-05,0.000176998148806964
"MFAP2",1988.78606151881,2.63084062808365,0.309934420332847,8.48837836487578,2.09540395047638e-17,6.16329349929738e-16
"PADI3.1",29.4255095635722,1.45221041602685,0.61910586339116,2.34565766841935,0.0189935433827247,0.0350133132461415
"PADI6.1",1.10500080559276,2.23135485002931,0.565753129434604,3.94404331843336,8.01191759444519e-05,0.0002490267908672
"RP1-20B21.4.1",774.090476165564,2.19109741600354,0.198850039133127,11.0188432728275,3.10017244699831e-28,3.97993988269474e-26
"RCC2.1",5304.11193570664,1.1552675768513,0.172113211049147,6.71225392756984,1.91640814116861e-11,2.06496858325515e-10
"ACTL8",28.0931329249806,3.32420009527272,0.53116970566333,6.25826371464733,3.8928714291904e-10,3.32697034422242e-09
"IGSF21",192.486059253405,-1.8836894439492,0.314576778064768,-5.98801175197164,2.12421718537963e-09,1.59422983731673e-08
"KLHDC7A",130.838951247033,-2.87822935095904,0.687509752205219,-4.18645603459004,2.83343786249182e-05,9.66100626925526e-05
"TAS1R2",0.976573225386321,2.26969234122396,0.684977382764854,3.31352888187714,0.000921265917740454,0.0023058132171755
"ALDH4A1",2642.45087124307,-2.42602013060577,0.289683682678977,-8.37472137943735,5.53546745490993e-17,1.52863817230889e-15
"RP13-279N23.2",1580.59130234562,-2.31705258862962,0.315152982879173,-7.35215185800083,1.95041032176622e-13,2.95835914658776e-12
"MRTO4",1603.05149603547,1.1349792569924,0.150983793876974,7.5172257091196,5.5950778135495e-14,9.24819817403583e-13
"RNU6-1099P",8.70082141000702,1.64474035407891,0.294429793659845,5.58618859061214,2.32107176755186e-08,1.4262096957426e-07
"RN7SL277P",9.51253854439267,1.32090256690079,0.253928351680245,5.20187115050515,1.97291995564114e-07,1.01989929910262e-06
"HTR6",24.3519742673874,1.5312279882363,0.418010994718828,3.66312850040289,0.00024915346844243,0.000700405884487833
"RNF186",38.2405971083189,-2.85992867616021,0.622730969776546,-4.59255892988016,4.37843815534555e-06,1.73992955243753e-05
"RP11-91K11.2",8.92549923284967,-3.23102980781958,0.527796654798171,-6.121732258904,9.25634682167178e-10,7.42842420339688e-09
"PLA2G2A",366.420511703227,-1.91299372624312,0.553511619938708,-3.45610400456445,0.000548043815526714,0.00143703198480433
"PLA2G5",63.7442882093514,-1.19189898628484,0.346103731994798,-3.44376230621736,0.000573679809162934,0.00149834502355008
"PLA2G2D",163.040257246771,3.77800941150089,0.563659836814042,6.7026407857179,2.04686207040352e-11,2.19368823279482e-10
"PLA2G2F",5.4734346096611,1.05971761042547,0.389985332640421,2.71732683701355,0.00658115830179703,0.0136052655218042
"RP3-340N1.2",11.2025726984722,1.64249065373383,0.505628878468841,3.24841148058566,0.00116051311548095,0.00284106188828248
"UBXN10",174.764711908339,-2.44068819140354,0.346777027501632,-7.03820610317695,1.94730511702761e-12,2.48856966983899e-11
"VWA5B1",3.59733296100251,-1.71073209008392,0.412401830954724,-4.1482165249449,3.35075414413637e-05,0.000112755349397028
"MUL1",1018.13222401797,-1.31497090611259,0.169796640788368,-7.74438705033955,9.60440288913612e-15,1.82430318265087e-13
"RPS4XP4",0.703299191933473,2.09107861785576,0.789067486173487,2.65006308648739,0.00804767420793366,0.0162751448368487
"MIR6084",50.2207685337754,-2.09395152716396,0.2431938746106,-8.61021491810508,7.29237306173168e-18,2.31255155007299e-16
"PINK1",2849.42928264724,-1.61048347825374,0.181964939942981,-8.85051526276644,8.7116148280799e-19,3.15548922876404e-17
"RP5-930J4.5",0.715675333136659,2.08876232777954,0.702508192313724,2.9732924834658,0.00294623554458169,0.00658362448328407
"KIF17",114.483660113029,-1.82080587795943,0.2364571687714,-7.70036234223768,1.35680935800194e-14,2.50562345190601e-13
"SH2D5",25.7200432298208,2.24105307285761,0.37034012061695,6.05133753568001,1.43648108229967e-09,1.11178109949765e-08
"RPS15AP6",26.0393893802982,1.47002397877293,0.262318779720265,5.60396011425698,2.09508938903574e-08,1.3000305221456e-07
"RP11-487E1.2",1.57729408037324,1.39143966670133,0.471317785043862,2.95223246577008,0.00315485321809742,0.00700598925699556
"HSPE1P27",4.10402527055546,1.16552535234683,0.353187195688107,3.30002153695313,0.000966774089631197,0.00240951320886847
